12/01/2018 04:05:52 p.m.
PANalytical
Results quantitative - WROXI-8G-2018,

Selected archive:,WROXI-8G-2018
Number of results selected:,25

Seq.,Sample name (1-20),Type,Application,Meas. date/time,Initial,Final,Loss On,Sum,Result type,Al2O3,SiO2,TiO2,Fe2O3,Mn3O4,MgO,CaO,Na2O,K2O,P2O5,SO3,V2O5,Cr2O3,SrO,ZrO2,BaO,NiO,CuO,ZnO,PbO,HfO2,
,,,or Instrument monitor,,weight,weight,Ignition,of conc.,,Al4,Si4,Ti5,Fe6,Mn3,Mg4,Ca4,Na5,K3,P3,S3,V3,Cr3,Sr4,Zr4,Ba3,Ni3,Cu3,Zn3,Pb3,Hf4,
,,,or Calibration update,,(g),(g),(%),(%),,(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MRC-EjemploXXX,R,WROXI-8G-2018,30/06/2017 10:29,"1,0000","11,0000","3,870","100,000",Concentration,"15,97","58,26","0,874","6,41","0,120","3,255","4,343","3,410","2,872","0,324","0,000","0,019","0,031","0,055","0,038","0,118","0,031","0,004","0,010","0,000","0,000",
2,MRC-EjemploXXX,R,WROXI-8G-2018,30/06/2017 10:47,"1,0000","11,0000","3,870","100,000",Concentration,"15,61","58,58","0,871","6,44","0,122","3,282","4,304","3,441","2,855","0,324","0,000","0,017","0,037","0,055","0,041","0,120","0,030","0,002","0,010","0,001","0,000",
3,MRC-EjemploXXX,R,WROXI-8G-2018,30/06/2017 16:35,"1,0000","11,0000","3,870","100,000",Concentration,"15,61","58,60","0,879","6,47","0,124","3,261","4,319","3,388","2,853","0,328","0,000","0,018","0,037","0,055","0,045","0,118","0,032","0,003","0,011","0,001","0,000",
4,MRC-EjemploXXX,R,WROXI-8G-2018,01/07/2017 13:15,"1,0000","11,0000","3,870","100,000",Concentration,"15,41","58,91","0,864","6,42","0,119","3,303","4,233","3,456","2,788","0,325","0,000","0,018","0,036","0,056","0,044","0,119","0,030","0,004","0,010","0,001","0,000",
5,MRC-EjemploXXX,R,WROXI-8G-2018,04/07/2017 16:54,"1,0000","11,0000","3,870","100,000",Concentration,"15,62","58,73","0,872","6,44","0,122","3,292","4,252","3,389","2,791","0,322","0,000","0,019","0,037","0,056","0,049","0,117","0,030","0,003","0,010","0,000","0,000",
6,MRC-EjemploXXX,R,WROXI-8G-2018,25/07/2017 08:27,"1,0000","11,0000","3,870","100,000",Concentration,"15,24","59,13","0,860","6,45","0,121","3,333","4,159","3,483","2,713","0,327","0,000","0,021","0,033","0,059","0,045","0,119","0,030","0,004","0,011","0,001","0,000",
7,MRC-EjemploXXX,R,WROXI-8G-2018,25/07/2017 08:46,"1,0000","11,0000","3,870","100,000",Concentration,"15,25","59,17","0,863","6,45","0,123","3,289","4,181","3,461","2,712","0,325","0,000","0,021","0,030","0,059","0,042","0,119","0,033","0,004","0,010","0,002","0,000",
8,MRC-EjemploXXX,R,WROXI-8G-2018,26/07/2017 21:42,"1,0000","11,0000","3,870","100,000",Concentration,"15,24","59,10","0,867","6,45","0,124","3,330","4,177","3,486","2,717","0,329","0,000","0,020","0,035","0,061","0,041","0,118","0,035","0,003","0,011","0,002","0,000",
9,MRC-EjemploXXX,R,WROXI-8G-2018,26/07/2017 22:00,"1,0000","11,0000","3,870","100,000",Concentration,"15,23","59,13","0,869","6,42","0,122","3,354","4,185","3,487","2,718","0,327","0,000","0,019","0,031","0,056","0,041","0,112","0,031","0,002","0,012","0,002","0,000",
10,MRC-EjemploXXX,R,WROXI-8G-2018,01/08/2017 11:58,"1,0000","11,0000","3,870","100,000",Concentration,"15,25","59,15","0,860","6,44","0,121","3,344","4,168","3,450","2,707","0,326","0,000","0,020","0,038","0,059","0,043","0,117","0,035","0,003","0,011","0,002","0,000",
11,MRC-EjemploXXX,R,WROXI-8G-2018,01/08/2017 12:16,"1,0000","11,0000","3,870","100,000",Concentration,"15,25","59,22","0,867","6,43","0,116","3,291","4,162","3,451","2,709","0,326","0,000","0,019","0,036","0,055","0,046","0,116","0,031","0,005","0,011","0,001","0,000",
12,MRC-EjemploXXX,R,WROXI-8G-2018,02/08/2017 12:30,"1,0000","11,0000","3,870","100,000",Concentration,"15,25","59,12","0,862","6,43","0,118","3,34","4,16","3,48","2,72","0,332","0,000","0,022","0,034","0,056","0,041","0,116","0,035","0,003","0,011","0,002","0,000",
13,MRC-EjemploXXX,R,WROXI-8G-2018,02/08/2017 12:49,"1,0000","11,0000","3,870","100,000",Concentration,"15,26","59,16","0,864","6,42","0,122","3,31","4,19","3,48","2,70","0,330","0,000","0,020","0,038","0,056","0,041","0,117","0,031","0,003","0,010","0,003","0,000",
14,MRC-EjemploXXX,R,WROXI-8G-2018,08/08/2017 12:01,"1,0000","11,0000","3,870","100,000",Concentration,"15,31","58,96","0,862","6,44","0,123","3,37","4,19","3,50","2,74","0,326","0,000","0,022","0,030","0,056","0,046","0,118","0,031","0,003","0,010","0,002","0,000",
15,MRC-EjemploXXX,R,WROXI-8G-2018,08/08/2017 12:20,"1,0000","11,0000","3,870","100,000",Concentration,"15,32","58,97","0,871","6,44","0,120","3,33","4,21","3,50","2,74","0,327","0,000","0,021","0,034","0,059","0,046","0,118","0,033","0,002","0,011","0,001","0,000",
16,MRC-EjemploXXX,R,WROXI-8G-2018,15/08/2017 09:27,"1,0000","11,0000","3,870","100,000",Concentration,"14,68","59,19","0,915","6,92","0,135","3,33","4,08","3,42","2,77","0,347","0,000","0,025","0,034","0,064","0,050","0,123","0,036","0,005","0,012","0,002","0,000",
17,MRC-EjemploXXX,R,WROXI-8G-2018,15/08/2017 09:46,"1,0000","11,0000","3,870","100,000",Concentration,"14,92","59,04","0,923","6,84","0,136","3,28","4,08","3,42","2,81","0,341","0,000","0,021","0,039","0,063","0,049","0,124","0,037","0,003","0,011","0,002","0,000",
18,MRC-EjemploXXX,R,WROXI-8G-2018,22/08/2017 14:13,"1,0000","11,0000","3,870","100,000",Concentration,"15,82","57,95","0,908","6,57","0,123","3,30","4,22","3,59","3,00","0,331","0,003","0,020","0,038","0,056","0,041","0,121","0,030","0,003","0,010","0,000","0,000",
19,MRC-EjemploXXX,R,WROXI-8G-2018,22/11/2017 10:55,"1,0000","11,0000","3,870","100,000",Concentration,"16,36","57,21","0,908","6,67","0,127","3,31","4,30","3,56","3,04","0,336","0,000","0,019","0,036","0,055","0,043","0,120","0,032","0,002","0,011","0,006","0,000",
20,MRC-EjemploXXX,R,WROXI-8G-2018,27/11/2017 10:38,"1,0000","11,0000","3,870","100,000",Concentration,"16,50","56,98","0,922","6,62","0,128","3,34","4,29","3,65","3,05","0,330","0,011","0,021","0,035","0,053","0,043","0,120","0,029","0,004","0,010","0,006","0,000",
21,MRC-EjemploXXX,R,WROXI-8G-2018,27/11/2017 22:42,"1,0000","11,0000","3,870","100,000",Concentration,"15,56","58,31","0,894","6,62","0,130","3,44","4,03","3,66","2,82","0,339","0,007","0,021","0,031","0,060","0,045","0,118","0,030","0,003","0,010","0,004","0,000",
22,MRC-EjemploXXX,R,WROXI-8G-2018,03/01/2018 16:48,"1,0000","11,0000","3,870","100,000",Concentration,"15,31","59,83","0,904","6,71","0,133","3,00","3,88","3,04","2,72","0,309","0,000","0,019","0,037","0,052","0,042","0,114","0,033","0,003","0,010","0,004","0,000",
23,MRC-EjemploXXX,R,WROXI-8G-2018,11/01/2018 11:37,"1,0000","11,0000","3,870","100,000",Concentration,"15,47","60,11","0,871","6,36","0,122","2,93","3,73","3,33","2,58","0,324","0,000","0,016","0,037","0,054","0,041","0,115","0,031","0,002","0,010","0,004","0,000",
24,MRC-EjemploXXX,R,WROXI-8G-2018,11/01/2018 21:30,"1,0000","11,0000","3,870","100,000",Concentration,"15,45","60,01","0,877","6,34","0,122","3,02","3,73","3,38","2,59","0,321","0,000","0,018","0,027","0,056","0,045","0,111","0,031","0,004","0,011","0,003","0,000",
25,MRC-EjemploXXX,R,WROXI-8G-2018,12/01/2018 07:23,"1,0000","11,0000","3,870","100,000",Concentration,"15,48","60,04","0,867","6,34","0,123","2,95","3,73","3,38","2,60","0,325","0,000","0,018","0,032","0,055","0,043","0,111","0,030","0,001","0,010","0,002","0,000",

